username,community,fans,n_campaign_posts,n_abelardo_posts,campaign_reach,first_campaign_ts,seeder_score,diff_in,diff_out,diff_betweenness,earliness,origin_score,amplifier_score,role
sindicato2.3,4,58700,1,0,1800000,1675379748,2,1,2,0.00021,0.8270498669150934,1.4937,0.9411,amplifier
hiprogresias,0,1762,1,0,14000,1653108431,1,0,20,0.0,1.0,1.3333,0.007,origin
colombialibre2.0,2,8318,2,0,1117,1756344790,3,0,9,0.0,0.19830775933676503,1.1983,0.0006,origin
donderecho6,2,118,5,5,1623,1772675739,3,4,4,0.00123,0.0714881463362036,1.0715,0.2415,amplifier
edwin_chica,2,4523,1,0,1804,1710331446,1,1,1,0.00014,0.5556289706724749,0.889,0.0283,spreader
politicadinamica,3,29000,1,0,9621,1754578368,2,1,2,0.00027,0.21202508552740318,0.8787,0.0576,amplifier
thomas.piedrahitam,1,50900,1,0,21100,1756246813,2,0,10,0.0,0.19906860950064442,0.8657,0.0106,origin
leosalce,3,1248,1,0,6625,1760802226,2,0,12,0.0,0.1636930955781083,0.8304,0.0033,origin
giovannygordillos,3,160300,4,0,25464,1761574908,2,2,2,0.00253,0.15769275645436853,0.8244,0.5078,amplifier
anthony_jaas,1,3349,12,26,30340,1771611242,2,4,8,0.00397,0.07975460394257172,0.7464,0.7921,amplifier
clips_politica0,4,1295,11,31,12271,1771716980,2,2,21,0.00511,0.07893348495925645,0.7456,1.0061,amplifier
elfusilero04,4,5086,1,0,1420,1754685141,1,0,20,0.0,0.2111959291483766,0.5445,0.0007,origin
danilocastrillonr,0,28700,2,3,16790,1756330459,1,2,6,0.00087,0.1984190481463688,0.5318,0.1786,amplifier
colombia_libre_ya,3,9104,10,7,24132,1716341633,0,7,0,0.0,0.5089562641811984,0.509,0.0121,spreader
wilson.barahona55,3,4489,1,0,323,1762147572,1,0,1,0.0,0.15324567705565428,0.4866,0.0002,origin
comonosduelescolombia,3,33000,1,16,48800,1720441668,0,1,0,0.0,0.47711703352848156,0.4771,0.0244,spreader
etd.entudia,3,112900,1,0,5688,1765552632,1,0,1,0.0,0.1268033440691455,0.4601,0.0028,origin
germanalejo1979,1,188,1,1,14700,1767998463,1,0,11,0.0,0.10780999953755854,0.4411,0.0074,origin
oscarmejiarohenes,2,346,1,0,11900,1771977515,1,0,3,0.0,0.07691027443590581,0.4102,0.006,origin
defensores.con.ab,2,1367,4,23,2921,1772199939,1,0,1,0.0,0.07518301868352817,0.4085,0.0015,origin
bernardotumbaco1879,1,11400,14,45,251515,1772593688,1,4,8,0.00239,0.07212532155892393,0.4055,0.5935,amplifier
albeiro.t8,1,14100,20,40,173124,1773719360,1,6,6,0.00363,0.06338380338961436,0.3967,0.7969,amplifier
mr.x.noticias,3,12500,1,0,1100,1778769125,1,1,2,0.00027,0.024169349713726973,0.3575,0.0534,spreader
roonny81,2,478,2,0,28149,1778951075,1,1,1,7e-05,0.022756398844463233,0.3561,0.0278,spreader
simong846,3,1079,1,1,354500,1779903005,1,2,1,0.00096,0.015364091501906207,0.3487,0.3651,amplifier
adrianabarragan16,4,9205,1,0,384,1780175389,1,2,8,0.00367,0.013248866387459701,0.3466,0.7184,amplifier
camiloramirez7819,4,1041,2,0,12026,1780356586,1,2,1,0.00041,0.011841763014786011,0.3452,0.0862,amplifier
