video_id,user_id,username,hashtag
7543401766847663365,7123210523009598469,kikecabrales,colombia
7640536865489030416,7436867193838961719,roonny81,cepedaguerrillero
7640536865489030416,7436867193838961719,roonny81,cepedaterrorista
7640536865489030416,7436867193838961719,roonny81,elheredero
7590518337440894224,6827671810667693062,elkin_isaza,paidpartnership
7590518337440894224,6827671810667693062,elkin_isaza,liveincentiveprogram
7590518337440894224,6827671810667693062,elkin_isaza,livecanbeeasy
7603408430002408722,7393431489486324742,abran.los.ojos.pet,parati
7593495482823904533,7111755692168627206,germanalejo1979,elsocialismonofunciona
7593495482823904533,7111755692168627206,germanalejo1979,fueracepeda
7593495482823904533,7111755692168627206,germanalejo1979,delaespriellapresidente
7593495482823904533,7111755692168627206,germanalejo1979,fuerapetristas
7619736751606746385,7547558051906683905,luzaka122018,elherederodelasfarc
7619736751606746385,7547558051906683905,luzaka122018,jefenarco
7541957290711190789,7541600142924547080,danilocastrillonr,ivancepeda
7541957290711190789,7541600142924547080,danilocastrillonr,ivancepedapresidente
7541957290711190789,7541600142924547080,danilocastrillonr,elecciones2026
7541957290711190789,7541600142924547080,danilocastrillonr,pactohistorico
7541957290711190789,7541600142924547080,danilocastrillonr,noticiascolombia
7650254042739920149,6782623823600878598,vickydavilaperiodista,cepeda
7650856768985206036,6951013294435255301,toallinmillennial,fyp
7650856768985206036,6951013294435255301,toallinmillennial,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7650856768985206036,6951013294435255301,toallinmillennial,izquierda
7650856768985206036,6951013294435255301,toallinmillennial,colombia
7618035633654615317,7334843713498579973,colnotiweb,colombia
7620476296325336341,6901318268293497861,jevd66,viraltiktok
7620476296325336341,6901318268293497861,jevd66,colombia
7620476296325336341,6901318268293497861,jevd66,noticiastiktok
7620476296325336341,6901318268293497861,jevd66,antioquia
7620476296325336341,6901318268293497861,jevd66,colombia
7581906543298284818,7132687670261842950,carlos.ayala.ozarco,cepeda
7581906543298284818,7132687670261842950,carlos.ayala.ozarco,fyp
7648647743497391368,7573790694137955340,luciel867,izquierdanuncamas
7648647743497391368,7573790694137955340,luciel867,fujimorismo
7648647743497391368,7573790694137955340,luciel867,peru
7648647743497391368,7573790694137955340,luciel867,elecciones
7648647743497391368,7573790694137955340,luciel867,comunismonuncamas
7651666759845498119,7105791202688467974,charovargas__,socialismo
7651666759845498119,7105791202688467974,charovargas__,derecha
